portal,operacion,url,titulo,tipo_inmueble,barrio,precio_moneda,precio_valor,gastos_comunes,dormitorios,banos,m2
Veocasas,venta,https://veocasas.com/properties/cmqshcl49046k1lbtyc7f28ed,"Venta apartamento de 1 dormitorio, planta baja- Carrasco Norte",Apartamento,Carrasco Norte,USD,110250,2000,1,1,31.5
Veocasas,venta,https://veocasas.com/properties/cmr27icjq08ns18ummb8hlnbx,"Venta De Apartamento Al Frente. 1 Dormitorio, Amplios Ventanales. Moderno Edificio. Puerto Del Buceo!",Apartamento,Buceo,USD,171000,,1,1,
Veocasas,venta,https://veocasas.com/properties/cmr27ibnp08ng18umk8vctc9x,"Venta Apartamento en Edificio JOY Montevideo, 3 Dormitorios, 3 Baños, Terraza Y Garage",Apartamento,,USD,551000,29000,3,3,
Veocasas,venta,https://veocasas.com/properties/cmqpk9dtu029dyu536pe5iwx3,Venta de Apartamento en Tres Cruces con terraza compartida,Apartamento,Tres Cruces,USD,80000,1200,1,1,
Veocasas,venta,https://veocasas.com/properties/cmqshcts0048u1lbt90cklfsb,"Venta apartamento de 1 dormitorio, planta baja- Carrasco Norte",Apartamento,Carrasco Norte,USD,110250,2000,1,1,31.7
Veocasas,venta,https://veocasas.com/properties/cmqshcgls045e1lbtrpwijfs6,"Venta apartamento de 1 dormitorio, Carrasco Norte",Apartamento,Carrasco Norte,USD,108000,2000,1,1,31.8
Veocasas,venta,https://veocasas.com/properties/cmqs9ycdm048ey4fvkq6poql4,"Venta Apartamento en Ciudad Vieja , 4 habitaciones 3 baños y gran potencial",Apartamento,Ciudad Vieja,USD,158000,3800,4,3,
Veocasas,venta,https://veocasas.com/properties/cmmz6j9bt00z0o81ql36587ps,Apartamento en Venta Carrasco Norte 3 Dormitorios con Gran Jardín y 2 Garajes – Edificio Preludio,Apartamento,Carrasco Norte,USD,420000,1111,3,2,
Veocasas,venta,https://veocasas.com/properties/cmph7ta1r00whx4stjc33w32d,Venta apartamento a estrenar de 2 dormitorios + garaje Barrio Parques - Ref 2211,Apartamento,,USD,450000,12500,2,2,
Veocasas,venta,https://veocasas.com/properties/cmhdlq2ru0086g54fh42xot8j,Apartamento en venta en Pocitos a metros de la Rambla | Ideal inversión | Con renta,Apartamento,Pocitos,USD,125000,3500,0,1,
Veocasas,venta,https://veocasas.com/properties/cmq6aixkz41dqgi7g191oa687,Apartamento de 1 dormitorio en piso alto en venta,Apartamento,,USD,165800,,1,1,49.0
Veocasas,venta,https://veocasas.com/properties/cmnxscp6s03zd7meq4rwmfept,Casa en Venta Prado / Atahualpa | Terreno 585 m² | Gran Potencial de Reciclaje o Inversión,Casa,Atahualpa,USD,319000,,5,3,285.0
Veocasas,venta,https://veocasas.com/properties/cmp552l08004z8j6muppg515g,"Venta casa 5 dormitorios, fondo verde con parrillero, 2garajes, Puerto del Buceo",Casa,Buceo,USD,960000,,5,5,270.0
Veocasas,venta,https://veocasas.com/properties/cmljod52m000fnb7fbrloj6mf,"Venta apartamento tres dormitorios, DOBLE GARAGE, terraza con parrillero - Carrasco Norte",Apartamento,Carrasco Norte,USD,369000,,3,2,108.0
Veocasas,venta,https://veocasas.com/properties/cmo9pdxn925w27meq4y8yrlls,Apartamento a estrenar de 1 dormitorio en venta en Pocitos,Apartamento,Pocitos,USD,207000,8994,1,1,62.0
Veocasas,venta,https://veocasas.com/properties/cmq0wwrh640l612c3as8gk8v9,A estrenar Apartamento 2 dormitorios con patio y garage doble al frente,Apartamento,,USD,185000,6000,2,1,
Veocasas,venta,https://veocasas.com/properties/cmoiilm2b00f36dewpj0yj2in,"Apartamento en venta de 2 dormitorios en Torres Nuevo Centro – Piso 17, vista despejada",Apartamento,Centro,USD,189900,9500,2,1,
Veocasas,venta,https://veocasas.com/properties/cmod9zn4t27ml7meq6kadkacu,Venta Apartamento 2 dormitorios con garaje en rambla barra de Carrasco,Apartamento,Carrasco,USD,269000,200,2,1,75.3
Veocasas,venta,https://veocasas.com/properties/cmpw40l2l00mh1n2oynxxfeeb,1 dormitorio interior en Pocitos,,Pocitos,USD,124100,,1,1,36.0
Veocasas,venta,https://veocasas.com/properties/cmpnpsw1j03v7m34n4knl4q37,Venta de excelente casa de oficinas en Punta Gorda,Casa,Punta Gorda,USD,1500000,,,,3000.0
Veocasas,venta,https://veocasas.com/properties/cmpr13y8w0cfa3i87np1c7g67,"Venta Apartamento 2 Dormitorios en Cordón Sur | Piso Alto, Vista Despejada y Gran Potencial",Apartamento,Cordón Sur,USD,113000,6800,2,1,
Veocasas,venta,https://veocasas.com/properties/cmgkw86gy0zpzsi7srfcbee32,Apartamento a estrenar en venta de 1 dormitorio con balcón y amenities sobre Av Italia,Apartamento,,USD,161500,,1,1,51.0
Veocasas,venta,https://veocasas.com/properties/cmm2433r1000bi08ngmzmkeuu,"CASABLANCA -PADRÓN ÚNICO, DESARROLLADA EN 2 PLANTA.",Casa,,USD,540000,,4,2,
Veocasas,venta,https://veocasas.com/properties/cmovu01jr0254dnxbvbku78xu,"Exclusiva casa en Venta 4 dormitorios + servicio en Barrio Ombúes, San Nicolás - Ref 2201",Casa,,USD,1850000,,4,5,644.0
Veocasas,venta,https://veocasas.com/properties/cmmf7i61300prk77blpz6ivsh,Casa Venta 5 Dormitorios 3 Baños 2 Garajes Fondo Parrillero,Casa,,USD,850000,,5,3,445.0
Veocasas,venta,https://veocasas.com/properties/cmpegw111011sk5848m1eg54k,Excelente Casa Venta 5 Dormitorios Piscina Parrillero Garaje x 4 Carrasco,Casa,Carrasco,USD,1800000,,5,4,836.0
Veocasas,venta,https://veocasas.com/properties/cmp4q2hqk03igm5x9u0hld7fx,"Apartamento en Pocitos de 2 Dormitorios, 2 baños, Balcón y Garaje doble",Apartamento,Pocitos,USD,297000,10500,2,2,
Veocasas,venta,https://veocasas.com/properties/cmmf7hvx700n3k77bmfjcbsua,Venta Apartamento 2 Dormitorios Balcón Amenities Nostrum Garden - Prado,Apartamento,Prado,USD,146061,,2,1,54.0
Veocasas,venta,https://veocasas.com/properties/cmmf7ns64023pk77b0nt75vsv,Venta de Apartamento 3 dormitorios en la Lago Calcagno Amenities Garaje.,Apartamento,,USD,290000,,3,2,84.0
Veocasas,venta,https://veocasas.com/properties/cmmf7fww9005bk77bsx0fptgr,Venta Departamento 3 Dormitorios Barbacoa Exclusiva Penthouse Amenities Rambla - Carrasco,,Carrasco,USD,1895000,,3,4,313.0
Veocasas,venta,https://veocasas.com/properties/cmmf7oazk028ik77bsu98796y,Venta Apartamento 2 Dormitorios en Barrio Parque Carrasco Amenities Garaje,Apartamento,Carrasco,USD,589000,,2,2,116.0
Veocasas,venta,https://veocasas.com/properties/cmoixmtz000xyotd7mivdl44l,Apartamento Venta 2 Dormitorios al Frente con Renta Barbacoa Centro,Apartamento,Centro,USD,165600,8000,2,1,84.0
Veocasas,venta,https://veocasas.com/properties/cmnxi0hco03xixu8vvd4xf3dn,"Venta De Casa En Parque Batlle, 3 Dormitorios, Barbacoa y Piscina",Casa,Parque Batlle,USD,405000,,3,2,300.0
Veocasas,venta,https://veocasas.com/properties/cmmf7fsdg0047k77bopvxvmih,Venta Apartamento 3 Dormitorios Suite a Estrenar Piscina Amenities Premium - Villa Biarritz,Apartamento,,USD,510590,,3,3,141.0
Veocasas,venta,https://veocasas.com/properties/cmngh0ub3005hu4hwu82iyfgm,Venta de Apartamento en Av Agraciada Muy Luminoso Con 2 Dormitorios,Apartamento,,USD,139000,5200,2,1,60.0
Veocasas,venta,https://veocasas.com/properties/cmoblahak26s77meqv7z0dqay,Apartamento al frente 1 dormitorio con garage,Apartamento,,USD,149000,4200,1,1,45.0
Veocasas,venta,https://veocasas.com/properties/cmli7upcb000iq87dqp2u8313,Pocitos 1 dormitorio con patio venta,,Pocitos,USD,175000,6000,1,1,66.0
Veocasas,venta,https://veocasas.com/properties/cmmtik1cv03mpwf2nm8uj9mbc,Muy linda casa a estrenar en Barrio Parques - Ref 2137,Casa,,USD,1600000,,4,6,618.0
Veocasas,venta,https://veocasas.com/properties/cmieonezw00b48jc9x7pg1ybr,Casa en venta 3 dormitorios + servicio Carrasco Sur - Ref 2019,Casa,Carrasco,USD,850000,,3,4,813.0
Veocasas,venta,https://veocasas.com/properties/cmmf7fstt004bk77but2o1353,Venta de Casa 3 DORMITORIOS Barbacoa  Garaje Malvin,Casa,Malvín,USD,335000,,3,2,210.0
Veocasas,venta,https://veocasas.com/properties/cmolry45p00gtgvkagpbmswbj,Venta apartamento reciclado de 2 dormitorios y 2 baños en Cordón / Centro - con balcón,Apartamento,Centro,USD,149000,4500,2,2,
Veocasas,venta,https://veocasas.com/properties/cmogeomkz0dev23vyy6rmri4o,Apartamento 2 Dorm en Pozo | More Pocitos | Gómez Platero | Entrega 2028,Apartamento,Pocitos,USD,263000,,2,2,
