portal,operacion,url,titulo,tipo_inmueble,barrio,precio_moneda,precio_valor,gastos_comunes,dormitorios,banos,m2
Casasymas,venta,https://www.casasymas.com.uy/propiedad/276505-apartamento-en-venta-de-3-dormitorios-con-garage-en-pocitos-montevideo#venta,"Apartamento en Venta de 3 dormitorios con  Garage en Pocitos, Montevideo",,Pocitos,USD,330000,,3,2,127
Casasymas,venta,https://www.casasymas.com.uy/propiedad/268070-casa-en-venta-de-4-dormitorios-con-garage-en-malvin-montevideo#venta,"Casa en Venta de 4 dormitorios con  Garage en Malvín, Montevideo",,Malvín,USD,495000,,4,3,730
Casasymas,venta,https://www.casasymas.com.uy/propiedad/282093-apartamento-en-venta-de-2-dormitorios-en-la-blanqueada-montevideo#venta,"Apartamento en Venta de 2 dormitorios  en La Blanqueada, Montevideo",,La Blanqueada,USD,190076,,2,1,75
Casasymas,venta,https://www.casasymas.com.uy/propiedad/282731-apartamento-en-venta-4-dormitorios-y-servicio-en-centro-barrio-sur-con-garaje#venta,Apartamento en Venta 4 Dormitorios y Servicio en Centro Barrio Sur con Garaje,,Barrio Sur,USD,295000,,4,4,254
Casasymas,venta,https://www.casasymas.com.uy/propiedad/273391-casa-en-venta-de-3-dormitorios-piscina-y-jardin-carrasco-sur-solida-construccion#venta,"Casa en Venta de 3 dormitorios, piscina y jardín, carrasco Sur, solida construcción",,Carrasco Sur,USD,610000,,3,3,924
Casasymas,venta,https://www.casasymas.com.uy/propiedad/282730-apartamento-en-venta-4-dormitorios-y-servicio-en-centro-barrio-sur-con-garaje#venta,Apartamento en Venta 4 Dormitorios y Servicio en Centro Barrio Sur con Garaje,,Centro,USD,295000,,4,4,254
Casasymas,venta,https://www.casasymas.com.uy/propiedad/272509-casa-en-venta-de-12-dormitorios-en-cordon-montevideo#venta,"Casa en Venta de 12 dormitorios  en Cordón, Montevideo",,Cordón,USD,990000,,12,5,466
Casasymas,venta,https://www.casasymas.com.uy/propiedad/269721-apartamento-venta-a-estrenar-parque-batlle-montevideo-imasuy-lc#venta,Apartamento Venta A Estrenar Parque Batlle Montevideo iMas.uy LC *,,Parque Batlle,USD,153000,,1,1,68
Casasymas,venta,https://www.casasymas.com.uy/propiedad/264170-venta-de-apartamento-de-2-dormitorios-con-terraza-parrillero-exclusivo-y-excelente-calidad#venta,"Venta de apartamento de 2 dormitorios con terraza,  parrillero exclusivo y excelente calidad",,Buceo,USD,203820,,2,2,71
Casasymas,venta,https://www.casasymas.com.uy/propiedad/269739-apartamento-en-venta-parque-rodo-punta-carretas-3-dormitorios-con-garaje#venta,Apartamento en Venta Parque Rodó / Punta Carretas 3 Dormitorios con Garaje,,Punta Carretas,USD,330000,,3,2,84
Casasymas,venta,https://www.casasymas.com.uy/propiedad/282770-local-en-venta-en-parque-batlle-montevideo#venta,"Local en Venta  en Parque Batlle, Montevideo",,Parque Batlle,USD,195000,,,1,98
Casasymas,venta,https://www.casasymas.com.uy/propiedad/272000-apartamento-venta-barrio-sur-montevideo-imasuy-lc#venta,Apartamento Venta Barrio Sur Montevideo iMas.uy LC,,Barrio Sur,USD,189000,,3,1,87
Casasymas,venta,https://www.casasymas.com.uy/propiedad/272883-apartamento-en-venta-de-4-dormitorios-con-garage-en-pocitos-montevideo#venta,"Apartamento en Venta de 4 dormitorios con  Garage en Pocitos, Montevideo",,Pocitos,USD,395000,,4,3,217
Casasymas,venta,https://www.casasymas.com.uy/propiedad/276872-apartamento-en-venta-de-2-dormitorios-con-garage-en-la-blanqueada-montevideo#venta,"Apartamento en Venta de 2 dormitorios con  Garage en La Blanqueada, Montevideo",,La Blanqueada,USD,160000,,2,1,52
Casasymas,venta,https://www.casasymas.com.uy/propiedad/275094-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo#venta,"Casa en Venta de 3 dormitorios  en Carrasco, Montevideo",,Carrasco,USD,440000,,3,2,306
Casasymas,venta,https://www.casasymas.com.uy/propiedad/271296-venta-de-apartamento-1-dormitorio-en-punta-carretas#venta,Venta de Apartamento 1 dormitorio en Punta Carretas,,Punta Carretas,USD,178500,,1,1,52
Casasymas,venta,https://www.casasymas.com.uy/propiedad/263001-venta-apartamento-3-dormitorios-malvin-gran-patio-58m2-parrillero-2-garajes-indep-constr-solida#venta,Venta Apartamento 3 Dormitorios Malvin - Gran patio 58m2 + Parrillero - 2 Garajes indep. - Constr. sólida,,Malvín,USD,349000,,3,2,154
Casasymas,venta,https://www.casasymas.com.uy/propiedad/265595-casa-a-construir-de-excelente-calidad#venta,Casa a Construir de Excelente Calidad.,,Buceo,USD,190000,,2,2,
Casasymas,venta,https://www.casasymas.com.uy/propiedad/273805-venta-de-casa-de-3-dormitorios-en-punta-gorda-malvin-almiron-y-volteadores#venta,Venta de casa de 3 dormitorios en Punta Gorda/Malvín. Almirón y Volteadores,,Punta Gorda,USD,485000,,3,3,593
